date,canada div,usa div,mx div,colo div,venezdiv,br div,peru div,boliviadiv,arg div,chi div
2020-03-01,8,0.466666667,0.555555556,,,,,,,7
2020-03-02,6,1.533333333,0,,,,,,,0
2020-03-03,6,1.266666667,0,,,,,,0.5,1
2020-03-04,6,2.2,0,,,0.222222222,,,0,0
2020-03-05,8,5.133333333,0,,,0,,,0,3
2020-03-06,24,3.533333333,0.555555556,0.5,,1,0.555555556,,0.5,0
2020-03-07,10,11.06666667,0,0,,0,0,,3,0
2020-03-08,20,7.733333333,0.555555556,0,,0.777777778,2.777777778,,2,7
2020-03-09,26,5,0,0,,0.555555556,0.555555556,,0,0
2020-03-10,4,12.53333333,0,1,,0.666666667,2.222222222,,2.5,5
2020-03-11,58,24.33333333,0.555555556,3,,0.777777778,0,3.4,1,10
2020-03-12,18,29.26666667,2.222222222,0,,1.555555556,2.222222222,0,0,0
2020-03-13,152,42.2,7.777777778,2,,11,7.222222222,1.7,6,20
2020-03-14,10,50.6,8.333333333,4.5,8,0,5.555555556,11.9,1.5,33
2020-03-15,108,15.6,6.666666667,6,32,1.222222222,2.777777778,0,5.5,13
2020-03-16,326,97.8,16.11111111,11.5,28,4.222222222,23.88888889,1.7,5.5,81
2020-03-17,126,122.2,6.111111111,9,64,13.44444444,17.22222222,0,6,46
2020-03-18,358,177.1333333,13.88888889,13.5,12,5.666666667,15.55555556,1.7,5.5,37
2020-03-19,286,299.6,25.55555556,3,24,27.66666667,49.44444444,0,9,0
2020-03-20,286,424.4666667,21.66666667,25,0,19.11111111,0,5.1,15.5,196
2020-03-21,668,399.6666667,26.66666667,19,112,25.33333333,46.66666667,6.8,15,131
2020-03-22,384,591.5333333,36.11111111,17.5,0,58.33333333,25,8.5,54,95
2020-03-23,1238,749.2,28.33333333,23,28,42,17.77777778,5.1,17.5,114
2020-03-24,1404,707.9333333,21.11111111,50.5,28,35.88888889,11.66666667,3.4,43,176
2020-03-25,922,805.4666667,38.88888889,46,28,34.11111111,35.55555556,5.1,0,220
2020-03-26,1582,1190.4,61.11111111,10.5,64,47.88888889,55.55555556,18.7,57.5,164
2020-03-27,1280,1246,73.33333333,24,0,48,30.55555556,30.6,43.5,304
2020-03-28,1788,1308.666667,72.77777778,34.5,48,54.11111111,20,22.1,50.5,350
2020-03-29,1408,1259.933333,80.55555556,47,0,39.11111111,100.5555556,11.9,27.5,230
2020-03-30,2236,1471.666667,56.11111111,48,64,35.88888889,54.44444444,27.2,37.5,310
2020-03-31,2258,1754.266667,67.22222222,54,0,126.4444444,63.88888889,17,117,289
2020-04-01,2066,2149.533333,90.55555556,79.5,32,124.3333333,143.3333333,13.6,0,293
2020-04-02,3448,2149,73.33333333,48,12,134.2222222,50.55555556,13.6,39.5,373
