date,value,value1
2020-03-01,0,8
2020-03-02,0,8
2020-03-03,4,12
2020-03-04,16,24
2020-03-05,0,8
2020-03-06,48,56
2020-03-07,0,8
2020-03-08,4,12
2020-03-09,8,16
2020-03-10,52,60
2020-03-11,36,44
2020-03-12,0,8
2020-03-13,188,196
2020-03-14,156,164
2020-03-15,0,8
2020-03-16,160,168
2020-03-17,216,224
2020-03-18,276,284
2020-03-19,1060,1068
2020-03-20,504,512
2020-03-21,408,416
2020-03-22,484,492
2020-03-23,876,884
2020-03-24,816,824
2020-03-25,940,948
2020-03-26,1020,1028
2020-03-27,1208,1216
2020-03-28,1176,1184
2020-03-29,800,808
2020-03-30,1180,1188
2020-03-31,1300,1308
2020-04-01,848,856
2020-04-02,1608,1616
2020-04-03,1696,1704
2020-04-04,1324,1332
2020-04-05,1560,1568
2020-04-06,1480,1488
2020-04-07,1380,1388
2020-04-08,1460,1468
2020-04-09,2000,2008
2020-04-10,6060,6068
2020-04-11,3356,3364
2020-04-12,2908,2916
2020-04-13,3968,3976
2020-04-14,3328,3336
2020-04-15,4272,4280
2020-04-16,2896,2904
2020-04-17,2836,2844
2020-04-18,3112,3120
2020-04-19,1972,1980
2020-04-20,1604,1612
2020-04-21,1552,1560
2020-04-22,2524,2532
2020-04-23,3744,3752
2020-04-24,2308,2316
2020-04-25,1508,1516
2020-04-26,2804,2812
2020-04-27,1544,1552
2020-04-28,916,924
2020-04-29,1504,1512
2020-04-30,1436,1444
2020-05-01,884,892
2020-05-02,1372,1380
2020-05-03,1320,1328
2020-05-04,1064,1072
2020-05-05,844,852
2020-05-06,1060,1068
2020-05-07,548,556
2020-05-08,624,632
2020-05-09,876,884
2020-05-10,944,952
2020-05-11,556,564
2020-05-12,428,436
2020-05-13,636,644
2020-05-14,1704,1712
2020-05-15,516,524
2020-05-16,368,376
2020-05-17,256,264
2020-05-18,352,360
2020-05-19,204,212
2020-05-20,256,264
2020-05-21,304,312
2020-05-22,460,468
2020-05-23,304,312
2020-05-24,228,236
2020-05-25,236,244
2020-05-26,148,156
2020-05-27,272,280
2020-05-28,152,160
2020-05-29,140,148
2020-05-30,212,220
2020-05-31,244,252
2020-06-01,288,296
2020-06-02,16,24
2020-06-03,180,188
2020-06-04,124,132
2020-06-05,84,92
2020-06-06,80,88
2020-06-07,72,80
2020-06-08,24,32
2020-06-09,32,40
2020-06-10,64,72
2020-06-11,28,36
2020-06-12,48,56
2020-06-13,180,188
2020-06-14,32,40
2020-06-15,72,80
2020-06-16,52,60
2020-06-17,28,36
2020-06-18,56,64
2020-06-19,52,60
2020-06-20,24,32
2020-06-21,20,28
2020-06-22,16,24
2020-06-23,32,40
2020-06-24,20,28
2020-06-25,36,44
2020-06-26,36,44
2020-06-27,92,100
2020-06-28,8,16
2020-06-29,92,100
2020-06-30,44,52
2020-07-01,16,24
2020-07-02,48,56
2020-07-03,36,44
2020-07-04,44,52
2020-07-05,72,80
2020-07-06,16,24
2020-07-07,28,36
2020-07-08,16,24
2020-07-09,92,100
2020-07-10,96,104
2020-07-11,88,96
2020-07-12,68,76
2020-07-13,40,48
2020-07-14,128,136
2020-07-15,52,60
2020-07-16,60,68
2020-07-17,128,136
2020-07-18,80,88
2020-07-19,40,48
2020-07-20,24,32
2020-07-21,144,152
2020-07-22,68,76
2020-07-23,28,36
2020-07-24,76,84
2020-07-25,96,104
2020-07-26,48,56
2020-07-27,44,52
2020-07-28,148,156
2020-07-29,52,60
2020-07-30,340,348
2020-07-31,152,160
2020-08-01,176,184
2020-08-02,212,220
2020-08-03,184,192
2020-08-04,180,188
2020-08-05,200,208
2020-08-06,276,284
2020-08-07,392,400
2020-08-08,696,704
2020-08-09,272,280
2020-08-10,224,232
2020-08-11,132,140
2020-08-12,148,156
2020-08-13,364,372
2020-08-14,264,272
2020-08-15,784,792
2020-08-16,264,272
2020-08-17,224,232
2020-08-18,744,752
2020-08-19,192,200
2020-08-20,516,524
2020-08-21,316,324
2020-08-22,612,620
2020-08-23,244,252
2020-08-24,588,596
2020-08-25,340,348
2020-08-26,648,656
2020-08-27,360,368
2020-08-28,500,508
2020-08-29,568,576
2020-08-30,160,168
2020-08-31,204,212
2020-09-01,856,864
2020-09-02,356,364
2020-09-03,368,376
2020-09-04,388,396
2020-09-05,924,932
2020-09-06,552,560
2020-09-07,408,416
2020-09-08,1224,1232
2020-09-09,336,344
2020-09-10,784,792
2020-09-11,844,852
2020-09-12,636,644
2020-09-13,1020,1028
2020-09-14,828,836
2020-09-15,1428,1436
2020-09-16,1000,1008
2020-09-17,896,904
2020-09-18,992,1000
2020-09-19,1068,1076
2020-09-20,1580,1588
2020-09-21,752,760
2020-09-22,1292,1300
2020-09-23,924,932
2020-09-24,1276,1284
2020-09-25,1284,1292
2020-09-26,980,988
2020-09-27,1720,1728
2020-09-28,1548,1556
2020-09-29,1452,1460
2020-09-30,1660,1668
2020-10-01,1768,1776
2020-10-02,1864,1872
2020-10-03,2420,2428
2020-10-04,1456,1464
2020-10-05,2068,2076
2020-10-06,1696,1704
2020-10-07,2444,2452
2020-10-08,2008,2016
2020-10-09,2468,2476
2020-10-10,4044,4052
2020-10-11,3256,3264
2020-10-12,3292,3300
2020-10-13,3232,3240
2020-10-14,4336,4344
2020-10-15,4744,4752
2020-10-16,3992,4000
2020-10-17,5004,5012
2020-10-18,5136,5144
2020-10-19,4124,4132
2020-10-20,5052,5060
2020-10-21,4664,4672
2020-10-22,4216,4224
2020-10-23,3140,3148
2020-10-24,3388,3396
2020-10-25,4080,4088
2020-10-26,3756,3764
2020-10-27,2800,2808
2020-10-28,2668,2676
2020-10-29,3452,3460
2020-10-30,3048,3056
2020-10-31,1588,1596
2020-11-01,2184,2192
2020-11-02,2992,3000
2020-11-03,1192,1200
2020-11-04,1740,1748
2020-11-05,2252,2260
2020-11-06,1968,1976
2020-11-07,1268,1276
2020-11-08,2156,2164
2020-11-09,1060,1068
2020-11-10,920,928
2020-11-11,1432,1440
2020-11-12,1540,1548
2020-11-13,1868,1876
2020-11-14,1708,1716
2020-11-15,1508,1516
2020-11-16,1812,1820
2020-11-17,1320,1328
2020-11-18,1488,1496
2020-11-19,1660,1668
2020-11-20,1316,1324
2020-11-21,1364,1372
2020-11-22,1272,1280
2020-11-23,1000,1008
2020-11-24,876,884
2020-11-25,1028,1036
2020-11-26,1228,1236
2020-11-27,820,828
2020-11-28,972,980
2020-11-29,1196,1204
2020-11-30,1212,1220
2020-12-01,1016,1024
2020-12-02,1072,1080
2020-12-03,648,656
2020-12-04,1052,1060
2020-12-05,1828,1836
2020-12-06,1192,1200
2020-12-07,888,896
2020-12-08,856,864
2020-12-09,872,880
2020-12-10,1212,1220
2020-12-11,1216,1224
2020-12-12,996,1004
2020-12-13,1716,1724
2020-12-14,1056,1064
2020-12-15,1308,1316
2020-12-16,1684,1692
2020-12-17,1924,1932
2020-12-18,2304,2312
2020-12-19,2088,2096
2020-12-20,3064,3072
2020-12-21,2900,2908
2020-12-22,3844,3852
2020-12-23,3708,3716
2020-12-24,3672,3680
2020-12-25,4100,4108
2020-12-26,5184,5192
2020-12-27,2940,2948
2020-12-28,3060,3068
2020-12-29,6180,6188
2020-12-30,6872,6880
2020-12-31,6488,6496
2021-01-01,7012,7020
2021-01-02,13576,13584
2021-01-03,19844,19852
2021-01-04,24440,24448
2021-01-05,21300,21308
2021-01-06,31328,31336
2021-01-07,26012,26020
2021-01-08,32908,32916
2021-01-09,19372,19380
2021-01-10,27544,27552
2021-01-11,19704,19712
2021-01-12,12208,12216
2021-01-13,14212,14220
2021-01-14,15652,15660
2021-01-15,13964,13972
2021-01-16,12928,12936
2021-01-17,11784,11792
2021-01-18,8468,8476
2021-01-19,7984,7992
2021-01-20,9940,9948
2021-01-21,10392,10400
2021-01-22,9428,9436
2021-01-23,7620,7628
2021-01-24,5480,5488
2021-01-25,5476,5484
2021-01-26,3712,3720
2021-01-27,5324,5332
2021-01-28,5852,5860
2021-01-29,4988,4996
2021-01-30,5644,5652
2021-01-31,4976,4984
2021-02-01,4024,4032
2021-02-02,3484,3492
2021-02-03,4024,4032
2021-02-04,5256,5264
2021-02-05,4076,4084
2021-02-06,3140,3148
2021-02-07,4080,4088
2021-02-08,3316,3324
2021-02-09,2172,2180
2021-02-10,3996,4004
2021-02-11,3448,3456
2021-02-12,3676,3684
2021-02-13,4304,4312
2021-02-14,3144,3152
2021-02-15,3280,3288
2021-02-16,2844,2852
2021-02-17,2552,2560
2021-02-18,3584,3592
2021-02-19,3012,3020
2021-02-20,3912,3920
2021-02-21,2716,2724
2021-02-22,2744,2752
2021-02-23,2228,2236
2021-02-24,2160,2168
2021-02-25,2552,2560
2021-02-26,3092,3100
2021-02-27,2916,2924
2021-02-28,2448,2456
2021-03-01,2724,2732
2021-03-02,1428,1436
2021-03-03,2236,2244
2021-03-04,1840,1848
2021-03-05,2080,2088
2021-03-06,2120,2128
2021-03-07,2080,2088
2021-03-08,1728,1736
2021-03-09,1224,1232
2021-03-10,2524,2532
2021-03-11,2364,2372
2021-03-12,2564,2572
2021-03-13,2152,2160
2021-03-14,1532,1540
2021-03-15,2300,2308
2021-03-16,1388,1396
2021-03-17,2208,2216
2021-03-18,2324,2332
2021-03-19,2040,2048
2021-03-20,2100,2108
2021-03-21,3072,3080
2021-03-22,2080,2088
2021-03-23,1460,1468
2021-03-24,2720,2728
2021-03-25,2376,2384
2021-03-26,2276,2284
2021-03-27,2440,2448
2021-03-28,2416,2424
